x,y,f1,color,f2,state,pointSource
48.0,43.0,1.036515929551588,1.8409523677509771,6.5326807614251825,0,0
10.0,52.0,4.4125687307352415,1.4584022907242247,18.970009585277836,0,1
19.0,46.0,42.00611260829232,1.8945252963720087,279.3150740622105,0,2
12.0,2.0,4.930836004887262,1.9907091404002848,36.097286240019315,0,3
36.0,42.0,15.994029334691279,0.8593719314446198,37.77273014200034,0,4
48.0,3.0,23.226938327599544,2.2028949179314363,210.2311538171663,0,5
53.0,21.0,151.25038557240805,2.150156166518755,1298.6659349606741,0,6
55.0,11.0,2470.380580202674,2.6768075605881245,35915.88872356531,0,7
48.01972229233267,43.09341007857736,1.1246655381042543,1.8204714847339751,6.944549982184517,1,0
10.347533958896818,51.94584152811292,4.12015243121199,1.4790688662227256,18.082760516914252,1,1
19.12809345288024,46.02673004013143,41.897176081305,1.8156217495556524,257.4537719514661,1,2
11.457288261724004,1.9882903837168096,4.7023887762407135,1.9049206227312798,31.59475900596307,1,3
35.67045889472442,42.366471225206354,16.328297814399733,1.1278370520433645,50.43758931706533,1,4
48.241078952292064,2.9133583090290154,23.12693073151144,1.8572876148141142,148.15890583087386,1,5
53.124577701964334,20.779172140913825,151.23836178150736,2.0388152921780085,1161.738000653133,1,6
55.014451207313904,11.010128753852399,2470.210434968631,2.6114533776798816,33641.37543078921,1,7
47.969596706180745,43.49620832334477,0.9419342418765042,1.8619587735092935,6.062601265682004,2,0
10.202964293321083,51.7395530669958,4.298036673270173,1.5011229289991794,19.284106511146014,2,1
19.205884936612023,46.855369537983655,41.636942100518006,1.4551714546483154,178.42337888320066,2,2
11.17067408065457,2.382381850195588,4.512088606682787,1.2370670234915428,15.546370072152548,2,3
35.75429141555043,42.304495202853126,16.027679556132206,1.1477443317110496,50.50445405650305,2,4
48.58039637152825,2.9583628391967536,23.12572643247636,1.6273387006539055,117.71711277465093,2,5
52.852469618558295,20.510997361649743,151.32315444616796,1.996532845523813,1114.2652424194987,2,6
55.327092777975516,11.406904331646638,2470.4020919042564,2.1657402241360133,21544.512672775796,2,7
47.425449553126256,43.82015858477185,0.9719130336085354,1.5796825640019274,4.717097216386527,3,0
9.77738345757452,51.91863958194386,4.2423664200072,1.3526687935690742,16.40834464183264,3,1
18.968013748634203,46.86413274529498,41.87861968953201,1.4008396238259933,169.96882715890737,3,2
10.64376474114364,2.626621330242965,5.2047933048915995,1.5425137972170229,24.33933552853783,3,3
35.92298844415636,42.37720991256965,16.59804558065141,0.8888211901850113,40.37077542011128,3,4
48.4291298906929,3.4051237355135893,23.197623449798144,1.680004488540783,124.46870569851149,3,5
52.839758231978905,20.56910867213106,151.24337741214094,1.8485841666743954,960.5196853738083,3,6
55.2312206591637,11.35686405592898,2470.597896976729,1.6515598448517852,12884.435464442198,3,7
47.418235497512875,43.77333898440599,1.1443066606991046,0.9965969187517013,3.09998054554045,4,0
10.149204115343046,51.99874734424607,4.642533005435937,1.36147149640292,18.114842322026067,4,1
18.902592324282907,46.507815266725906,42.153758863976165,1.5603491191265288,200.67224953682307,4,2
10.737496341481295,2.498291831715666,4.452837972903349,1.4634720592901942,19.240428165502227,4,3
36.516304879460606,42.605569486306656,16.907250386684865,0.48771263136134896,27.53492443134441,4,4
48.901392004099954,3.7403202150784067,23.462885954086342,2.0450819198821675,181.3632219412676,4,5
52.6111899048383,20.06325365214943,151.3495965273383,1.895515020813663,1007.3792045984526,4,6
55.08921730348129,11.436503011109322,2470.6115397214626,1.492127018102439,10985.68130196103,4,7
47.83251574343224,43.32342013672868,1.0930995616732742,1.263624948018488,3.867631264701094,5,0
9.8454923969604,51.501321276250984,4.811716767573091,1.2233430424725582,16.35276472283721,5,1
18.479899598303362,46.463302624688104,42.474524363941214,1.2022597224922333,141.33941438734277,5,2
11.066854118815863,2.449013828092566,4.2970394113822845,1.1543848562857977,13.630516411839533,5,3
36.85801402972023,42.46302301077355,16.959594205280403,0.5525133661865023,29.469241833263982,5,4
48.80292794868869,4.007211674836698,23.213997519941607,1.9736382960370948,167.0668002858243,5,5
52.571591212530656,19.937345439550672,151.4794647526269,1.8734410374398034,986.2314930490394,5,6
54.988941044810005,11.598799264123157,2470.497226683011,1.0279938392372499,6906.156609133064,5,7
47.92815236591252,43.203188766821555,1.100511373037126,1.1868630376924203,3.6061401653097436,6,0
9.602583817014636,50.85734074512854,5.3070642230002285,1.5305927255515903,24.523492382675926,6,1
18.855207985527304,47.0721953623379,42.48958591209891,1.0183334074775994,117.63568296569515,6,2
11.173746862120623,2.2594497081674385,4.043717232247242,1.140737086790779,12.65309010878231,6,3
36.718873279096535,42.60263772399156,16.552223940460596,0.6466690475504221,31.601023756093355,6,4
49.04282543023146,4.271094744006219,22.843141210945436,1.8793093402234908,149.5992791005193,6,5
52.311627934650645,19.892076697957616,151.55020654752963,2.153057871009299,1305.0215557186048,6,6
55.10254915023402,11.778783351104156,2470.4257729548035,0.6552564591207324,4757.141547447842,6,7
47.94195785573997,43.29188731239805,1.3000741685017565,1.1860618163231653,4.256652834567947,7,0
9.489731216980253,50.90948426993623,5.412361482135205,1.3649002337195695,21.19119434921144,7,1
18.56560390069665,46.96768544950957,42.482279155377405,1.1034445574319944,128.06418523174014,7,2
11.092577865572407,1.7946300621789175,3.894038791423141,1.4090959951543052,15.935397041885397,7,3
36.49929579652788,42.78162183045442,16.59512378451688,0.9688022664175615,43.72461302682024,7,4
48.73314978941722,4.214288735609056,22.832370563633077,2.134868360576994,193.06900255353148,7,5
